numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
1,NGRAG,AG,"El Niágara, Ags.",El Niágara,Aguascalientes,Aguascalientes,21.78,-102.371667,1828,191,Presa El Niágara,12,Lerma Santiago,16.18799973,1832.400024,31.69499969,1828.400024,31.5,1833.0,1963,R. Aguascalientes,RI,Libre,"El Niágara, Ags."
2,CDRAG,AG,"La Codorniz, Ags.",La Codorniz,Aguascalientes,Calvillo,21.9975,-102.676944,1783,204,Río Juchipila 1,12,Lerma Santiago,5.366000175,1837.76001,6.527999878,1836.0,36.0,1840.0,1966,R. De La Labor,RI,Libre,"La Codorniz, Ags."
3,MNLAG,AG,"Media Luna, Ags.",Media Luna,Aguascalientes,Calvillo,21.8075,-102.788333,1585,204,Río Juchipila 1,12,Lerma Santiago,15.0,1621.959961,21.19599915,1619.199951,40.6,1624.1,1976,R. Calvillo,RI,Libre,"Media Luna, Ags."
4,ABRAG,AG,"Abelardo L. Rodríguez, Ags.",Abelardo L. Rodríguez,Aguascalientes,Jesús María,21.916944,-102.427778,1974,191,Presa El Niágara,12,Lerma Santiago,15.997,1890.0,18.816,1888.88,25.0,1890.2,1934,R. Morcinique,RI,Libre,"Abelardo L. Rodríguez, Ags."
5,PTRAG,AG,"Derivadora Pabellón, Ags.",Derivadora Pabellón,Aguascalientes,Rincón de Romos,22.235,-102.4375,2090,189,Río San Pedro,12,Lerma Santiago,2.038000107,2093.0,2.099999905,2092.600098,35.0,2099.86,1931,R. San Pedro,RI,Libre,"Derecha Potrerillos, Ags."
6,ANVAG,AG,"Cincuenta Aniversario, Ags.",Cincuenta Aniversario,Aguascalientes,San José de Gracia,22.188611,-102.464167,2050,190,Presa Calles,12,Lerma Santiago,4.1,2088.57,5.039,2086.0,39.2,89.2,,Río Blanco,AP/RI,Libre,San José de Gracia
7,JCQAG,AG,"Jocoque, Ags.",Jocoque,Aguascalientes,San José de Gracia,22.121667,-102.356944,1970,189,Río San Pedro,12,Lerma Santiago,10.97500038,1943.400024,11.39999962,1942.449951,44.0,1944.95,1929,R. San Pedro,RI,Libre,"Derecha Jocoque, Ags."
8,PECAG,AG,"Plutarco Elías Calles, Ags.",Plutarco Elías Calles,Aguascalientes,San José de Gracia,22.141111,-102.417222,2020,190,Presa Calles,12,Lerma Santiago,358.121,2022.0,407.438,2020.0,67.0,2022.6,1931,R. Santiago,AP/RI,Libre,"Calles, Ags."
9,ELZBN,BN,"Emilio López Zamora, B.C.","Emilio López Zamora, B.C.",Baja California,Ensenada,31.890278,-116.6025,70,4,Ensenada-El Gallo,1,B.C.Noroeste,2.732000113,25.26000023,6.342000008,19.88999939,34.0,27.0,1978,A. Ensenada,AP,Libre,"Ensenada, B.C."
10,AURBN,BN,"Las Auras, B.C.","Las Auras, B.C.",Baja California,Tecate,32.544722,-116.531667,0,1,Tijuana,1,B.C.Noroeste,5.01,822.0,5.1,820.0,40.0,822.0,,A. Las Auras,AP,Libre,
11,ALRBN,BN,"Abelardo L. Rodríguez, B.C.","Abelardo L. Rodríguez, B.C.",Baja California,Tijuana,32.444722,-116.908333,120,1,Tijuana,1,B.C.Noroeste,76.9,125.0,121.392,115.85,72.0,127.0,1937,R. Tijuana,AP,Contr,"Tijuana, B.C."
12,CRRBN,BN,"El Carrizo, B.C.","El Carrizo, B.C.",Baja California,Tijuana,32.479444,-116.696944,495,1,Tijuana,1,B.C.Noroeste,40.86600113,286.2200012,44.58499908,284.7000122,55.8,288.34,1978,A. Carrizo,AP,Libre,"El Carrizo, B.C."
13,ANGCP,CP,"Doctor Belisario Domínguez, Chis.",Doctor Belisario Domínguez,Chiapas,Acala,16.401389,-92.778889,520,627,Presa Chicoasén,30,Grijalva-Usumacinta,13169.63,539.5,19736.4,533.0,147.0,543.0,1976,R. Grijalva,GH,Contr,"La Angostura, Chis."
14,JSBCP,CP,"Juan Sabines, Chis.",Juan Sabines,Chiapas,La Concordia,15.996389,-92.898611,1550,614,Presa La Concordia,30,Grijalva-Usumacinta,68.15000153,618.2700195,116.1100006,612.1199951,46.0,620.25,1981,R. Cuxtepeques,RI,Libre,"El Portillo II o Cuxtepeques, Chis."
15,PENCP,CP,"Ángel Albino Corzo, Chis.",Ángel Albino Corzo,Chiapas,Ostuacán,17.446111,-93.458611,50,638,Presa Peñitas,30,Grijalva-Usumacinta,215.041,95.5,578.63,87.4,58.0,98.0,1986,R. Grijalva,GH,Contr,"Peñitas, Chis."
16,CHICP,CP,"Manuel Moreno Torres, Chis.",Manuel Moreno Torres,Chiapas,Osumacinta,16.941667,-93.100556,710,627,Presa Chicoasén,30,Grijalva-Usumacinta,205.98,395.0,1318.6,392.5,261.0,405.0,1980,R. Grijalva,GH,Contr,"Chicoasén, Chis."
17,MALCP,CP,"Nezahualcóyotl, Chis.",Nezahualcóyotl,Chiapas,Tecpatán,17.178611,-93.598889,192,635,Presa Nezahualcóyotl,30,Grijalva-Usumacinta,9317.39,188.0,14056.32,182.5,138.0,192.0,,R. Grijalva o Mezcalapa,GH,Contr,"Malpaso, Chis."
18,LLNCH,CH,"Ing. Luis L. León, Chih.",Ing. Luis L. León,Chihuahua,Aldama,28.984444,-105.28,1055,413,Río Conchos 3,24,Bravo Conchos,284.382,1050.5,824.76181,1034.8,62.0,1053.0,1968,R. Conchos,RI,Contr,"Ing. Luis L. León, Chih."
19,PAZCH,CH,"Piedras Azules, Chih.",Piedras Azules,Chihuahua,Allende,27.249167,-105.211111,0,407,Río Parral,24,Bravo Conchos,8.712,1998.42,13.194,1996.5,22.0,2000.0,,Río Parral,RI,Libre,
20,LJSCH,CH,"Las Lajas, Chih.",Las Lajas,Chihuahua,Buenaventura,29.88,-107.025833,1565,715,Río del Carmen 1,34,Cuencas Centrales del Norte,83.26599884,1561.619995,106.5469971,1558.699951,47.0,1563.8,1964,R. El Carmen o Santa Clara,RI,Libre,"Las Lajas, Chih."
21,TNTCH,CH,"El Tintero, Chih.",El Tintero,Chihuahua,Buenaventura,29.5625,-107.384167,1729,711,Río Santa María 2,34,Cuencas Centrales del Norte,125.0749969,1709.030029,216.7030029,1703.0,56.0,1712.0,1950,R. Santa María,RI,Libre,"El Tintero, Chih."
22,CHUCH,CH,"Chihuahua, Chih.",Chihuahua,Chihuahua,Chihuahua,28.570556,-106.167778,1900,412,Río Chuviscar,24,Bravo Conchos,23.38299942,1544.280029,35.63100052,1540.819946,58.0,1546.0,1960,R.Â Chuviscar,AP,Libre,"Chihuahua, Chih."
23,ERECH,CH,"El Rejón, Chih.",El Rejón,Chihuahua,Chihuahua,28.614722,-106.119444,1480,413,Río Conchos 3,24,Bravo Conchos,6.528,1478.319946,7.755000114,1477.0,33.0,1479.8,1966,A. El Rejón,AP,Libre,"El Rejón, Chih."
24,PAGCH,CH,"Pico del Águila, Chih.",Pico del Águila,Chihuahua,Coronado,26.546389,-105.254167,0,406,Río Florido 3,24,Bravo Conchos,48.276,1619.0,59.843,1616.900024,42.0,1625.9,1993,R. Florido,RI,Libre,"Pico Del Aguila, Chih."
25,AGZCH,CH,"Abraham González, Chih.",Abraham González,Chihuahua,Guerrero,28.481667,-107.482778,2020,103,Río Yaqui 1,9,Sonora Sur,79.354,2051.300049,102.891,2047.800049,41.9,2052.9,1961,R. Papigochi,RI,Libre,"Guadalupe, Chih."
26,FIMCH,CH,"Francisco I. Madero, Chih.",Francisco I. Madero,Chihuahua,Rosales,28.166111,-105.628889,1300,410,Río San Pedro,24,Bravo Conchos,333.32,1242.560059,477.6220093,1239.3,57.0,1243.8,1949,R. San Pedro,RI,Libre,"Francisco I. Madero, Chih."
27,LBQCH,CH,"La Boquilla, Chih.",La Boquilla,Chihuahua,San Francisco de Conchos,27.544722,-105.414167,1323,409,Río Conchos 1,24,Bravo Conchos,2846.78,1319.1,3192.75,1317.0,82.0,1322.0,1916,R. Conchos,GH/RI,Libre,"Lago de Toronto, Chih."
28,CILAFLCMX,MX,"Internacional La Amistad, Coah.",Internacional La Amistad,Coahuila de Zaragoza,Acuña,29.45,-101.06,355,419,Río Bravo 5,24,Bravo Conchos,1351.63,93.482,1607.962,91.81,50.0,98.45,1953,R. Bravo,AP/RI,Contr,"Falcón, Tamps."
29,CNTCL,CL,"El Centenario, Coah.",El Centenario,Coahuila de Zaragoza,Jiménez,29.213611,-100.95,325,421,Arroyo de las Vacas,24,Bravo Conchos,24.5890007,336.3800049,25.711,336.1499939,17.0,338.0,1935,R. San Diego,RI,Libre,"El Centenario, Coah."
30,LFGCL,CL,"La Fragua, Coah.",La Fragua,Coahuila de Zaragoza,Jiménez,28.82,-100.832222,300,424,Río San Rodrigo,24,Bravo Conchos,47.29499817,303.96,85.37999725,300.2999878,24.7,306.68,1993,R. San Rodrigo,RI,Libre,"La Fragua, Coah"
31,SMGCL,CL,"San Miguel, Coah.",San Miguel,Coahuila de Zaragoza,Jiménez,29.034167,-100.953889,230,422,Río San Diego,24,Bravo Conchos,21.16799927,341.9599915,22.19300079,341.7399902,15.0,343.5,1935,R. San Diego,AP/RI,Libre,"San Miguel, Coah."
32,VCRCL,CL,"Venustiano Carranza, Coah.",Venustiano Carranza,Coahuila de Zaragoza,Juárez,27.515,-100.616111,272,431,Río Salado,24,Bravo Conchos,874.1,261.7999878,1322.372,259.24,38.86,265.8,1932,R. Sabinas,AP/RI,Contr,"Don Martín, Coah."
33,LDACM,CM,"Laguna de Amela, Col.",Laguna de Amela,Colima,Tecomán,18.809167,-103.774167,20,263,Coahuayana 2,16,Armería-Coahuayana,38.343,7.64,41.3,7.39,6.35,10.89,,Canal Bajo Amela y Dren Zanja,RI,Libre,"Tecomán, Col."
34,CBRDR,DR,"Caboraca, Dgo.",Caboraca,Durango,Canatlán,24.538333,-104.810278,0,148,Río La Sauceda,11,Presidio San Pedro,45.0,2001.280029,57.88000107,1998.25,37.0,2003.75,1992,R. La Sauceda,RI,Libre,"Canoas, Dgo."
35,FZRDR,DR,"Francisco Zarco, Dgo.",Francisco Zarco,Durango,Cuencamé,25.270833,-103.773611,1200,738,Presa Francisco Zarco,36,Nazas Aguanaval,309.24,1210.050049,383.1600037,1208.2,39.5,1213.0,1968,R. Nazas,RI,Contr,"Las Tórtolas, Dgo."
36,GVCDR,DR,"Presidente Guadalupe Victoria, Dgo.",Presidente Guadalupe Victoria,Durango,Durango,23.961111,-104.753056,1982,151,Río Durango,11,Presidio San Pedro,78.06,1934.61,94.617,1931.0,72.8,1934.8,1962,R. Tunal,RI,Mixto,"El Tunal, Dgo."
37,PAGDR,DR,"Peña del Águila, Dgo.",Peña del Águila,Durango,Durango,24.203889,-104.656667,1896,148,Río La Sauceda,11,Presidio San Pedro,27.948,1895.27002,54.902,1892.5,25.0,1896.8,1954,R. La Sauceda,RI,Libre,"Peña Del Aguila, Dgo."
38,SBYDR,DR,"Santiago Bayacora, Dgo.",Santiago Bayacora,Durango,Durango,23.874444,-104.675833,1900,150,Río Santiago Bayacora,11,Presidio San Pedro,130.0469971,1965.939941,169.8690033,1959.01001,66.75,1962.0,1990,R. Santiago Bayacora,RI,Libre,"Santiago Bayacora, Dgo."
39,LNRDR,DR,"Los Naranjos, Dgo.",Los Naranjos,Durango,General Simón Bolívar,24.613056,-103.306944,1650,747,Presa La Flor,36,Nazas Aguanaval,20.928,1661.089966,27.38999939,1658.400024,48.0,1663.0,1985,R. Santa Clara,RI,Libre,"Los Naranjos, Dgo."
40,SELDR,DR,"Santa Elena, Dgo.",Santa Elena,Durango,General Simón Bolívar,24.608333,-103.079722,2480,747,Presa La Flor,36,Nazas Aguanaval,15.08,2001.61,18.766,1999.8,30.75,2002.75,1977,R. Graseros,RI,Libre,"Santa Elena, Dgo."
41,APRDR,DR,"Ing. Benjamín Ortega Cantero, Dgo.",Ing. Benjamín Ortega Cantero,Durango,Hidalgo,26.226389,-104.493889,1400,733,Arroyo La India-Laguna Palomas,35,Mapimi,30.764,1434.099976,56.06000137,1430.199951,34.8,1436.4,1984,A. Grande del Derrame,RI,Libre,"Agua Puerca, Dgo."
42,VHGDR,DR,"Villa Hidalgo, Dgo.",Villa Hidalgo,Durango,Hidalgo,26.2425,-104.928889,1750,733,Arroyo La India-Laguna Palomas,35,Mapimi,23.08,1729.55,39.555,1726.23,34.2,1731.28,1977,A. Cerro Gordo,RI,Libre,"Villa Hidalgo, Dgo."
43,LCRDR,DR,"Lázaro Cárdenas, Dgo.",Lázaro Cárdenas,Durango,Indé,25.594167,-105.015833,1600,736,Presa Lázaro Cárdenas,36,Nazas Aguanaval,2770.51,1632.0,4278.541,1620.87,100.0,1635.0,1946,R. Nazas,RI,Contr,"El Palmito, Dgo."
44,SGBDR,DR,"San Gabriel, Dgo.",San Gabriel,Durango,Ocampo,26.436667,-105.560833,1739,404,Río Florido 1,24,Bravo Conchos,245.4309998,1783.390015,377.3380127,1777.900024,48.0,1785.6,1991,R. Florido,RI,Libre,"San Gabriel, Dgo."
45,FVLDR,DR,"Francisco Villa, Dgo.",Francisco Villa,Durango,Poanas,24.001667,-103.960833,1961,152,Río Poanas,11,Presidio San Pedro,73.26000214,1996.130005,96.56999969,1993.0,58.7,1998.7,1968,R. Poanas,RI,Libre,"El Bosque, Dgo."
46,TGRDR,DR,"El Tigre, Dgo.",El Tigre,Durango,San Juan de Guadalupe,24.563056,-102.785,0,747,Presa La Flor,36,Nazas Aguanaval,14.0,1580.12,18.56,1576.92,34.5,1581.62,,Arroyo El Tigre,RI,Libre,El Tigre
47,SLSGJ,GJ,"Solís, Gto.",Solís,Guanajuato,Acámbaro,20.055278,-100.669722,1879,174,Río Lerma 3,12,Lerma Santiago,800.0,1898.7,1214.14,1892.54,56.7,1901.7,1949,R. Lerma,RI,Contr,"Solis, Gto."
48,PNLGJ,GJ,"Peñuelitas, Gto.",Peñuelitas,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,21.105,-100.878333,1915,175,Río La Laja 1,12,Lerma Santiago,17.46,1907.29,30.169,1904.7,28.0,1908.2,1960,R. De la Erre,RI,Libre,"Peñuelitas, Gto."
49,PRSGJ,GJ,"La Purísima, Gto.",La Purísima,Guanajuato,Guanajuato,20.867222,-101.287778,1839,182,Río Lerma 5,12,Lerma Santiago,110.0,1860.7,181.926,1853.47,43.0,1863.0,,R. Guanajuato,RI,Contr,"La Purísima, Gto."
50,SLDGJ,GJ,"La Soledad, Gto.",La Soledad,Guanajuato,Guanajuato,21.04,-101.279722,2001,182,Río Lerma 5,12,Lerma Santiago,1.857,2209.149902,2.371000051,2207.75,51.0,2211.4,1956,R. Santa Ana,AP,Libre,"La Soledad, Gto."
51,EPLGJ,GJ,"El Palote, Gto.",El Palote,Guanajuato,León,21.173611,-101.678889,1856,182,Río Lerma 5,12,Lerma Santiago,9.643,1838.6,17.161,1836.15,20.5,1839.5,1954,R. De Los Gómez,AP,Libre,"El Palote, Gto."
52,GLNGJ,GJ,"La Golondrina, Gto.",La Golondrina,Guanajuato,Pénjamo,20.439167,-101.7425,1939,182,Río Lerma 5,12,Lerma Santiago,4.670000076,1837.119995,5.96999979,1835.199951,45.7,1838.7,1968,R. Penjamo,RI,Libre,"La Golondrina,Gto."
53,MABGJ,GJ,"Mariano Abasolo, Gto.",Mariano Abasolo,Guanajuato,Pénjamo,20.507222,-101.931111,1740,183,Río Lerma 6,12,Lerma Santiago,20.079,1753.08,23.946,1751.3,43.0,1755.0,1971,A. los Otates,RI,Libre,"San Antonio de Aceves, Gto."
54,IALGJ,GJ,"Ignacio Allende, Gto.",Ignacio Allende,Guanajuato,San Miguel de Allende,20.848056,-100.825833,1820,175,Río La Laja 1,12,Lerma Santiago,170.79,1833.33,241.41,1830.75,43.0,1834.7,1968,R. de la Laja,RI,Contr,"La Begoña, Gto."
55,LDYGJ,GJ,"Laguna de Yuriria, Gto.",Laguna de Yuriria,Guanajuato,Yuriria,20.286944,-101.073056,1736,179,Río Lerma 4,12,Lerma Santiago,278.79,1731.400024,325.1950073,1730.92,10.0,0.0,1550,R. Lerma,RI,Contr,"Bordo de Tavamatacheo, Gto."
56,AFIGR,GR,"Andrés Figueroa, Gro.",Andrés Figueroa,Guerrero,Ajuchitlán del Progreso,18.075833,-100.5175,387,277,Río Medio Balsas,18,Balsas,102.5,382.6099854,133.029,377.0,72.5,385.0,1984,R. Ajuchitán,RI,Libre,"Las Garzas, Gro."
57,VGRGR,GR,"Vicente Guerrero, Gro.",Vicente Guerrero,Guerrero,Arcelia,18.382778,-100.265833,0,277,Río Medio Balsas,18,Balsas,249.49,430.2999878,300.0,425.0,67.5,433.0,1968,R. Poliutla,AP/RI,Libre,"Palos Altos, Gro."
58,RMEGR,GR,"Revolución Mexicana, Gro.",Revolución Mexicana,Guerrero,Ayutla de los Libres,16.823611,-99.166111,80,320,Río Nexpa 1,20,Costa Chica de Guerrero,126.694,107.5899963,259.502,94.40000153,70.7,110.7,1984,R. Nexpa,RI,Libre,"El Guineo, Gro."
59,EGLGR,GR,"El Gallo, Gro.",El Gallo,Guerrero,Cutzamala de Pinzón,18.703056,-100.671111,400,277,Río Medio Balsas,18,Balsas,400.0390015,368.0,545.9660034,362.7799988,67.5,370.5,1998,R. Cutzamala,GH/RI,Libre,"El Gallo, Gro."
60,ECAGR,GR,"Ing. Carlos Ramírez Ulloa, Gro.",Ing. Carlos Ramírez Ulloa,Guerrero,General Heliodoro Castillo,17.947778,-99.995556,513,277,Río Medio Balsas,18,Balsas,1057.29,523.6,1183.23,521.0,126.0,526.0,1986,R. Balsas,GH,Contr,"El Caracol, Gro."
61,LDTGR,GR,"Laguna de Tuxpan, Gro.",Laguna de Tuxpan,Guerrero,Iguala de la Independencia,18.363333,-99.503056,20,277,Río Medio Balsas,18,Balsas,17.64699936,743.3499756,19.50300026,742.8400269,8.0,744.75,1937,Antiguo canal de riego,RI,Libre,"Laguna de Tuxpan, Gro."
62,VTRGR,GR,"Valerio Trujano, Gro.",Valerio Trujano,Guerrero,Tepecoacuilco de Trujano,18.295833,-99.466111,842,277,Río Medio Balsas,18,Balsas,31.014,842.7800293,51.727,840.0,33.3,844.3,1964,R. Tepecoacuilco,AP/RI,Libre,"Tepecoacuilco, Gro."
63,LCLGR,GR,"La Calera, Gro.",La Calera,Guerrero,Zirándaro,18.418611,-101.003056,239,281,Río Bajo Balsas,18,Balsas,9.393,122.6200027,34.1928,118.0,31.8,124.3,1964,R. Chiquito o El Oro,RI,Libre,"La Calera, Gro."
64,PRGHD,HD,"Javier Rojo Gómez, Hgo.",Javier Rojo Gómez,Hidalgo,Alfajayucan,20.359722,-99.329444,1860,561,Río Alfajayucan,26,Pánuco,39.99,1977.839,43.317,1976.84,60.0,1980.96,1979,R. Alfajayucan,RI,Contr,"La Peña, Hgo."
65,PVAHD,HD,"Vicente Aguirre, Hgo.",Vicente Aguirre,Hidalgo,Alfajayucan,20.435556,-99.375833,1870,561,Río Alfajayucan,26,Pánuco,17.799,1855.5,19.685,1854.9,27.0,1865.9,1954,R. Alfajayucan,RI,Libre,"Las Golondrinas, Hgo."
66,PERHD,HD,"La Esperanza, Hgo.",La Esperanza,Hidalgo,Cuautepec de Hinojosa,20.0575,-98.334722,2210,492,Río Grande de Tulancingo,26,Pánuco,3.920000076,2209.600098,4.199999809,2207.699951,28.7,2210.6,1943,R. Santa María,RI,Libre,"La Esperanza, Hgo."
67,ENDHD,HD,"Endhó, Hgo.",Endhó,Hidalgo,Tepetitlán,20.163889,-99.36,2048,562,Río Tula,26,Pánuco,182.9,2020.0,208.65,2018.0,60.0,2023.0,1951,R. Tula,RI,Libre,"Endhó, Hgo."
68,PRQHD,HD,"Requena, Hgo.",Requena,Hidalgo,Tula de Allende,19.963056,-99.310833,2109,558,Presa Endhó,26,Pánuco,51.57,2110.3,61.519,2109.0,38.0,2116.59,,R. Tula,RI,Mixto,"Requena, Hgo."
69,ZMPHD,HD,"Ing. Fernando Hiriart Balderrama, Hgo.",Ing. Fernando Hiriart Balderrama,Hidalgo,Zimapán,20.663333,-99.501111,1813,525,Embalse Zimapán,26,Pánuco,1390.0,1563.0,1460.0,1560.0,203.0,1565.0,1990,R. Moctezuma,GH,Contr,"Zimapán, Hgo."
70,REDJL,JL,"La Red, Jal.",La Red,Jalisco,Acatic,20.718889,-102.815278,1758,206,Río Santiago 1,12,Lerma Santiago,14.25,1794.699951,18.29999924,1792.5,24.0,1796.5,1968,R. Calderón,RI,Libre,"La Red, Jal."
71,HRTJL,JL,"Hurtado, Jal.",Hurtado,Jalisco,Acatlán de Juárez,20.466944,-103.651111,1400,222,Laguna Villa Corona A,12,Lerma Santiago,22.624,1462.66,22.624,1462.66,10.35,1464.0,1879,A. San Antonio,RI,Libre,"Valencia, Jal."
72,SRSJL,JL,"Manuel M. Dieguez, Jal.",Manuel M. Dieguez,Jalisco,Amatitán,20.908889,-103.705556,730,208,Presa Santa Rosa,12,Lerma Santiago,393.36,748.0,418.0,746.46,114.0,747.0,1964,R. Santiago,GH,Contr,"Santa Rosa, Jal."
73,POLJL,JL,"Ing. Guillermo Lugo Sanabria, Jal.",Ing. Guillermo Lugo Sanabria,Jalisco,Ayotlán,20.491111,-102.231944,1671,186,Río Lerma 7,12,Lerma Santiago,51.675,1665.0,56.15,1663.46,69.0,1669.1,1989,R. Huascato,RI,Libre,"La Pólvora, Jal."
74,TMLJL,JL,"Ramón Corona Madrigal General, Jal.",Ramón Corona Madrigal General,Jalisco,Ayutla,19.976111,-104.370278,1004,255,Corcovado,16,Armería-Coahuayana,250.0,1209.359985,324.0,1201.400024,107.0,1209.34,1993,R. Ayuquila,RI,Libre,"Trigomil, Jal."
75,LDCJL,JL,"Lago de Chapala, Jal.",Lago de Chapala,Jalisco,Chapala,20.290556,-103.201667,1523,186,Río Lerma 7,12,Lerma Santiago,8126.41,99.0,9279.71,98.0,0.0,0.0,,R. Lerma,AP,Libre,"Chapala, Jal."
76,CUQJL,JL,"Cuquío, Jal.",Cuquío,Jalisco,Cuquío,20.948056,-103.039444,1799,207,Río Santiago 2,12,Lerma Santiago,7.5,1806.579956,8.850000381,1805.5,24.0,1808.5,1967,A. Achichilco,RI,Libre,"Los Gigantes, Jal."
77,BBAJL,JL,"Basilio Vadillo, Jal.",Basilio Vadillo,Jalisco,El Limón,19.913611,-104.061111,824,256,Las Piedras,16,Armería-Coahuayana,124.75,978.97,146.888,974.35,96.0,982.8,1973,R. Tuxcacuesco,RI,Libre,"Las Piedras, Jal."
78,PLYJL,JL,"Ing. Alfredo Elías Ayub, Jal.",Ing. Alfredo Elías Ayub,Jalisco,Hostotipaquillo,21.196944,-104.105833,579,219,Río Santiago 4,12,Lerma Santiago,2292.92,578.0,2392.88,575.0,207.0,579.0,2012,R. Santiago,GH,Contr,"La Yesca, Jal."
79,ACHZC,ZC,"Achimec, Jal.",Achimec,Jalisco,Huejúcar,22.327222,-103.225278,1825,210,Río Tepetongo,12,Lerma Santiago,7.364,1844.27,12.212,1841.5,28.5,1846.3,,R. Huejúcar,RI,Libre,"Vaqueros, Jal."
80,CHLMC,MC,"Constitución de Apatzingán, Jal.",Constitución de Apatzingán,Jalisco,Jilotlán de los Dolores,19.287778,-102.774167,440,280,Río Tepalcatepec,18,Balsas,590.0250244,437.6799927,807.1500244,429.4500122,107.0,440.0,1990,R. Grande,RI,Libre,"Chilatán, Jal."
81,CRTJL,JL,"El Cuarenta, Jal.",El Cuarenta,Jalisco,Lagos de Moreno,21.497778,-101.7375,1998,192,Presa El Cuarenta,12,Lerma Santiago,30.625,2001.949951,38.95999908,1998.75,42.0,2004.0,1949,A. Azul,RI,Libre,"El Cuarenta, Jal."
82,SA1JL,JL,"La Sauceda, Jal.",La Sauceda,Jalisco,Lagos de Moreno,21.359167,-101.835556,1940,193,Río de Lagos,12,Lerma Santiago,16.0,1921.030029,21.5,1918.900024,38.1,1923.0,1982,R. La Sauceda,RI,Libre,"Garabatillos, Jal."
83,CRNJL,JL,"Corrinchis, Jal.",Corrinchis,Jalisco,Mascota,20.479722,-104.780833,0,241,Mascota,14,Río Ameca,20.0,1336.1,29.0,1332.6,38.0,1337.0,,Río Mascota,RI,Libre,Corrinchis
84,TRJCM,CM,"Solidaridad, Jal.",Solidaridad,Jalisco,Pihuamo,18.967222,-103.396667,291,261,Barreras,16,Armería-Coahuayana,203.388,301.11,285.742,292.37,87.0,303.6,1994,R. El Cajón,RI,Libre,"Trojes, Jal."
85,TENJL,JL,"Tenasco, Jal.",Tenasco,Jalisco,Santa María de los Ángeles,22.171944,-103.198611,1850,210,Río Tepetongo,12,Lerma Santiago,10.49,1724.839966,13.85000038,1722.849976,32.0,1777.0,1960,A. Tenasco,RI,Libre,"Boquilla de Zaragoza, Jal."
86,VEGJL,JL,"Ing. Santiago Camarena, Jal.",Ing. Santiago Camarena,Jalisco,Teuchitlán,20.596389,-103.845833,1260,234,Salado,14,Río Ameca,44.03499985,1258.859985,80.0,1257.0,18.0,1261.0,1960,R. Ameca,RI,Libre,"La Vega, Jal."
87,CPEJL,JL,"Cajón de Peña, Jal.",Cajón de Peña,Jalisco,Tomatlán,19.9975,-105.129722,132,246,Río Tomatlán A,15,Costa de Jalisco,500.0,139.2,707.62,131.66,68.0,142.0,1976,R. Tomatlán,RI,Contr,"Tomatlán, Jal."
88,TCTJL,JL,"Tacotán, Jal.",Tacotán,Jalisco,Unión de Tula,20.036111,-104.320278,1330,254,Tacotán,16,Armería-Coahuayana,149.2389984,1406.290039,169.0,1403.060059,68.5,1407.5,1960,R. Ayutla,RI,Libre,"Tacotán, Jal."
89,ESLJL,JL,"El Salto, Jal.",El Salto,Jalisco,Valle de Guadalupe,21.037222,-102.705,0,199,Río del Valle,12,Lerma Santiago,85.0,1812.5,118.54,1810.160034,42.0,1814.5,1940,R. El Salto,AP,Libre,"El Salto, Jal."
90,VCVJL,JL,"Vicente C. Villaseñor, Jal.",Vicente C. Villaseñor,Jalisco,Valle de Juárez,19.939722,-102.941667,0,280,Río Tepalcatepec,18,Balsas,14.43999958,1878.0,18.12000084,1877.0,18.0,1880.0,1950,R. Quitupan,RI,Libre,"Valle de Juárez, Jal."
91,ESTJL,JL,"El Estribón, Jal.",El Estribón,Jalisco,Yahualica de González Gallo,21.185556,-102.900556,0,200,Río Verde 1,12,Lerma Santiago,6.377999783,1881.410034,7.739999771,1880.0,29.0,1882.5,1946,A. Las Pilas,RI,Libre,"El Estribón, Jal."
92,CHLJL,JL,"Chila, Jal.",Chila,Jalisco,Zapotlán del Rey,20.489722,-102.944167,0,206,Río Santiago 1,12,Lerma Santiago,0.762,99.0,1.0,98.7,10.0,1525.88,1945,A. Chila,RI,Libre,"Chila, Jal."
93,LCLJL,JL,"La Colonia, Jal.",La Colonia,Jalisco,Zapotlán del Rey,20.43,-102.931944,0,206,Río Santiago 1,12,Lerma Santiago,5.775,103.4000015,6.5,103.0,6.0,0.0,1927,A. Los Sabinos,RI,Libre,"La Colonia, Jal."
94,EGCJL,JL,"Ing. Elías González Chávez, Jal.",Ing. Elías González Chávez,Jalisco,Zapotlanejo,20.680833,-102.976111,0,206,Río Santiago 1,12,Lerma Santiago,80.0,1620.0,100.0,1618.0,36.0,1622.0,1991,R. Calderón,AP,Libre,"Puente Calderón, Jal."
95,PMNMX,MX,"El Molino, Méx.","El Molino, Méx.",México,Aculco,20.124167,-99.739722,2740,486,Arroyo Zarco,26,Pánuco,7.686,2385.09,8.7,2384.39,12.0,2491.0,1980,A. Zarco,RI,Libre,"El Molino, Méx."
