numero,dam_key,state_code,dam_name,dam_name_clean,state,municipality,latitude,longitude,altitude_m,basin_id,basin_name,hydro_region_id,hydro_region_name,namo_oficial_mm3,name_elev_msnm,name_oficial_mm3,namo_elev_msnm,altura_cortina_m,elev_corona_msnm,inicio_operacion,corriente,uso,tipo_vertedor,nombre_comun
144,LLAHD,HD,"La Laguna, Hgo.",La Laguna,Puebla,Acaxochitlán,20.135556,-98.128333,2050,569,Río Cazones,27,Norte de Veracruz,40.638,2184.5,49.227,2183.0,19.0,2185.0,1903,A. Huitzilin,RI,Libre,"Tejocotal, Pue."
145,LREHD,HD,"Los Reyes, Hgo.",Los Reyes,Puebla,Acaxochitlán,20.174722,-98.131944,2260,569,Río Cazones,27,Norte de Veracruz,24.031,2167.0,29.263,2165.0,30.0,2168.5,1913,R. Omiltepec,RI,Libre,"Omiltepec, Pue."
146,TENPB,PB,"Tenango, Pue.",Tenango,Puebla,Huauchinango,20.199444,-97.983333,1260,570,Río Tecolutla,27,Norte de Veracruz,28.479,1351.4,46.576,1345.6,39.0,1353.0,1912,R. Coacuila,GH,Libre,"Tenango, Pue."
147,NNEPB,PB,"Necaxa, Pue.",Necaxa,Puebla,Juan Galindo,20.216667,-98.000556,1364,570,Río Tecolutla,27,Norte de Veracruz,29.055,1343.0,39.283,1338.0,59.0,1344.0,1908,R. Necaxa,GH,Libre,"Necaxa, Pue."
148,BDDPB,PB,"Manuel Ávila Camacho, Pue.",Manuel Ávila Camacho,Puebla,Puebla,18.9125,-98.108611,2060,275,Río Bajo Atoyac,18,Balsas,300.654,2062.0,391.489,2059.02,85.0,2064.0,1946,R. Atoyac,RI,Libre,"Valsequillo o Balcón del Diablo, Pue."
149,NEXPB,PB,"Nexapa, Pue.",Nexapa,Puebla,Tlaola,20.168333,-97.984722,1340,570,Río Tecolutla,27,Norte de Veracruz,12.5,1362.35,15.313,1360.0,44.0,1364.0,1912,R. Nexapa,GH,Libre,"Nexapa, Pue."
150,SOLPB,PB,"La Soledad, Pue.",La Soledad,Puebla,Tlatlauquitepec,19.960833,-97.446667,1590,570,Río Tecolutla,27,Norte de Veracruz,13.9,805.0,14.98,804.5,91.5,806.5,1962,R. Apulco y Xiucayucan,GH,Contr,"La Soledad, Pue."
151,IDFQT,QT,"San Ildefonso, Qro.",San Ildefonso,Querétaro,Amealco de Bonfil,20.198611,-99.9625,0,487,Río Ðado,26,Pánuco,47.812,2242.5,58.026,2239.0,62.7,2261.93,1942,Río San Juan,RI,Libre,"El Tepozán, Qro."
152,BATQT,QT,"El Batán, Qro.",El Batán,Querétaro,Corregidora,20.504167,-100.412222,1881,176,Río Querétaro,12,Lerma Santiago,5.791,1905.15,8.042,1902.1,45.5,1914.85,,Río El Pueblito,RI,Libre,Los Arcos
153,JLPQT,QT,"Jalpan, Qro.",Jalpan,Querétaro,Jalpan de Serra,21.230278,-99.479722,760,511,Río Santa María 3,26,Pánuco,8.12,784.55,11.56,780.55,41.0,785.0,,Río Jalpan,RI/AP,Libre,Jalpan
